# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.63915979	4.28887118e-01
0.63933483	4.28199429e-01
0.63950988	4.27512682e-01
0.63968492	4.26826875e-01
0.63985996	4.26142006e-01
0.64003501	4.25458070e-01
0.64021005	4.24775067e-01
0.64038510	4.24092994e-01
0.64056014	4.23411847e-01
0.64073518	4.22734590e-01
0.64091023	4.22060221e-01
0.64108527	4.21386766e-01
0.64126032	4.20714632e-01
0.64143536	4.20044313e-01
0.64161040	4.19374893e-01
0.64178545	4.18706371e-01
0.64196049	4.18038742e-01
0.64213553	4.17372005e-01
0.64231058	4.16706158e-01
0.64248562	4.16041199e-01
0.64266067	4.15377978e-01
0.64283571	4.14720394e-01
0.64301075	4.14063684e-01
0.64318580	4.13407845e-01
0.64336084	4.12752875e-01
0.64353588	4.12098772e-01
0.64371093	4.11445534e-01
0.64388597	4.10793158e-01
0.64406102	4.10141641e-01
0.64423606	4.09490983e-01
0.64441110	4.08841180e-01
0.64458615	4.08192230e-01
0.64476119	4.07547409e-01
0.64493623	4.06904889e-01
0.64511128	4.06263210e-01
0.64528632	4.05622786e-01
0.64546137	4.04983985e-01
0.64563641	4.04346011e-01
0.64581145	4.03708864e-01
0.64598650	4.03072540e-01
0.64616154	4.02437039e-01
0.64633658	4.01802356e-01
0.64651163	4.01168492e-01
0.64668667	4.00536826e-01
0.64686172	3.99910262e-01
0.64703676	3.99284504e-01
0.64721180	3.98659548e-01
0.64738685	3.98035393e-01
0.64756189	3.97412037e-01
0.64773693	3.96789477e-01
0.64791198	3.96167713e-01
0.64808702	3.95546740e-01
0.64826207	3.94926558e-01
0.64843711	3.94307165e-01
0.64861215	3.93688558e-01
0.64878720	3.93074181e-01
0.64896224	3.92461532e-01
0.64913728	3.91849659e-01
0.64931233	3.91239015e-01
0.64948737	3.90629884e-01
0.64966242	3.90021516e-01
0.64983746	3.89413911e-01
0.65001250	3.88807065e-01
0.65018755	3.88200976e-01
0.65036259	3.87595644e-01
0.65053763	3.86991066e-01
0.65071268	3.86388888e-01
0.65088772	3.85790724e-01
0.65106277	3.85193304e-01
0.65123781	3.84596624e-01
0.65141285	3.84000685e-01
0.65158790	3.83405483e-01
0.65176294	3.82811016e-01
0.65193798	3.82217284e-01
0.65211303	3.81624283e-01
0.65228807	3.81032013e-01
0.65246312	3.80440472e-01
0.65263816	3.79849657e-01
0.65281320	3.79264111e-01
0.65298825	3.78679865e-01
0.65316329	3.78096335e-01
0.65333833	3.77513960e-01
0.65351338	3.76932921e-01
0.65368842	3.76352587e-01
0.65386347	3.75772956e-01
0.65403851	3.75194027e-01
0.65421355	3.74615797e-01
0.65438860	3.74038266e-01
0.65456364	3.73461432e-01
0.65473868	3.72887202e-01
0.65491373	3.72316226e-01
0.65508877	3.71745938e-01
0.65526382	3.71176335e-01
0.65543886	3.70607415e-01
0.65561390	3.70039178e-01
0.65578895	3.69471620e-01
0.65596399	3.68904742e-01
0.65613903	3.68338540e-01
0.65631408	3.67773014e-01
0.65648912	3.67208161e-01
0.65666417	3.66643981e-01
0.65683921	3.66085139e-01
0.65701425	3.65527065e-01
0.65718930	3.64969654e-01
0.65736434	3.64413389e-01
0.65753938	3.63858376e-01
0.65771443	3.63304016e-01
0.65788947	3.62750306e-01
0.65806452	3.62197246e-01
0.65823956	3.61644833e-01
0.65841460	3.61093066e-01
0.65858965	3.60541944e-01
0.65876469	3.59993688e-01
0.65893973	3.59448137e-01
0.65911478	3.58903222e-01
0.65928982	3.58358941e-01
0.65946487	3.57815293e-01
0.65963991	3.57272276e-01
0.65981495	3.56729889e-01
0.65999000	3.56188130e-01
0.66016504	3.55646998e-01
0.66034009	3.55106492e-01
0.66051513	3.54566609e-01
0.66069017	3.54027676e-01
0.66086522	3.53493745e-01
0.66104026	3.52960429e-01
