# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.59767442	8.38848077e-02
0.59784946	8.37218666e-02
0.59802451	8.35592882e-02
0.59819955	8.33970710e-02
0.59837459	8.32352134e-02
0.59854964	8.30738714e-02
0.59872468	8.29138934e-02
0.59889972	8.27542684e-02
0.59907477	8.25949948e-02
0.59924981	8.24360711e-02
0.59942486	8.22774959e-02
0.59959990	8.21192677e-02
0.59977494	8.19613849e-02
0.59994999	8.18038463e-02
0.60012503	8.16466501e-02
0.60030008	8.14897952e-02
0.60047512	8.13332799e-02
0.60065016	8.11777560e-02
0.60082521	8.10228819e-02
0.60100025	8.08683416e-02
0.60117529	8.07141336e-02
0.60135034	8.05602566e-02
0.60152538	8.04067092e-02
0.60170043	8.02534900e-02
0.60187547	8.01005977e-02
0.60205051	7.99480309e-02
0.60222556	7.97957883e-02
0.60240060	7.96438685e-02
0.60257564	7.94925285e-02
0.60275069	7.93423897e-02
0.60292573	7.91925679e-02
0.60310078	7.90430617e-02
0.60327582	7.88938698e-02
0.60345086	7.87449909e-02
0.60362591	7.85964237e-02
0.60380095	7.84481671e-02
0.60397599	7.83002196e-02
0.60415104	7.81525801e-02
0.60432608	7.80052473e-02
0.60450113	7.78582200e-02
0.60467617	7.77122126e-02
0.60485121	7.75667248e-02
0.60502626	7.74215373e-02
0.60520130	7.72766487e-02
0.60537634	7.71320580e-02
0.60555139	7.69877640e-02
0.60572643	7.68437653e-02
0.60590148	7.67000610e-02
0.60607652	7.65566497e-02
0.60625156	7.64135304e-02
0.60642661	7.62707019e-02
0.60660165	7.61284772e-02
0.60677669	7.59872141e-02
0.60695174	7.58462367e-02
0.60712678	7.57055438e-02
0.60730183	7.55651345e-02
0.60747687	7.54250074e-02
0.60765191	7.52851617e-02
0.60782696	7.51455960e-02
0.60800200	7.50063095e-02
0.60817704	7.48673009e-02
0.60835209	7.47285691e-02
0.60852713	7.45901132e-02
0.60870218	7.44528492e-02
0.60887722	7.43159951e-02
0.60905226	7.41794118e-02
0.60922731	7.40430985e-02
0.60940235	7.39070539e-02
0.60957739	7.37712772e-02
0.60975244	7.36357672e-02
0.60992748	7.35005229e-02
0.61010253	7.33655433e-02
0.61027757	7.32308274e-02
0.61045261	7.30963743e-02
0.61062766	7.29625355e-02
0.61080270	7.28294653e-02
0.61097774	7.26966534e-02
0.61115279	7.25640989e-02
0.61132783	7.24318007e-02
0.61150288	7.22997580e-02
0.61167792	7.21679697e-02
0.61185296	7.20364350e-02
0.61202801	7.19051527e-02
0.61220305	7.17741221e-02
0.61237809	7.16433421e-02
0.61255314	7.15128118e-02
0.61272818	7.13834924e-02
0.61290323	7.12544586e-02
0.61307827	7.11256701e-02
0.61325331	7.09971261e-02
0.61342836	7.08688256e-02
0.61360340	7.07407678e-02
0.61377844	7.06129517e-02
0.61395349	7.04853764e-02
0.61412853	7.03580411e-02
0.61430358	7.02309449e-02
0.61447862	7.01040869e-02
0.61465366	6.99778828e-02
0.61482871	6.98523294e-02
0.61500375	6.97270103e-02
0.61517879	6.96019247e-02
0.61535384	6.94770716e-02
0.61552888	6.93524503e-02
0.61570393	6.92280600e-02
0.61587897	6.91038997e-02
0.61605401	6.89799686e-02
0.61622906	6.88562659e-02
0.61640410	6.87327909e-02
0.61657914	6.86095931e-02
0.61675419	6.84875367e-02
0.61692923	6.83657039e-02
0.61710428	6.82440941e-02
0.61727932	6.81227063e-02
0.61745436	6.80015397e-02
0.61762941	6.78805937e-02
0.61780445	6.77598673e-02
0.61797949	6.76393599e-02
0.61815454	6.75190706e-02
0.61832958	6.73989986e-02
0.61850463	6.72791432e-02
0.61867967	6.71599701e-02
0.61885471	6.70413321e-02
0.61902976	6.69229073e-02
0.61920480	6.68046948e-02
0.61937984	6.66866940e-02
0.61955489	6.65689041e-02
0.61972993	6.64513243e-02
0.61990498	6.63339539e-02
0.62008002	6.62167921e-02
0.62025506	6.60998384e-02
0.62043011	6.59830918e-02
0.62060515	6.58666835e-02
0.62078020	6.57512656e-02
0.62095524	6.56360514e-02
0.62113028	6.55210402e-02
0.62130533	6.54062314e-02
0.62148037	6.52916241e-02
0.62165541	6.51772178e-02
0.62183046	6.50630117e-02
0.62200550	6.49490051e-02
0.62218055	6.48351974e-02
0.62235559	6.47215878e-02
0.62253063	6.46081757e-02
0.62270568	6.44954910e-02
0.62288072	6.43832470e-02
0.62305576	6.42711973e-02
0.62323081	6.41593413e-02
0.62340585	6.40476783e-02
0.62358090	6.39362078e-02
0.62375594	6.38249289e-02
0.62393098	6.37138411e-02
0.62410603	6.36029438e-02
0.62428107	6.34922362e-02
0.62445611	6.33817178e-02
0.62463116	6.32715887e-02
0.62480620	6.31622999e-02
0.62498125	6.30531972e-02
0.62515629	6.29442799e-02
0.62533133	6.28355474e-02
0.62550638	6.27269990e-02
0.62568142	6.26186343e-02
0.62585646	6.25104524e-02
0.62603151	6.24024529e-02
0.62620655	6.22946352e-02
0.62638160	6.21869985e-02
0.62655664	6.20795424e-02
0.62673168	6.19728474e-02
0.62690673	6.18664994e-02
0.62708177	6.17603291e-02
0.62725681	6.16543359e-02
0.62743186	6.15485193e-02
0.62760690	6.14428786e-02
0.62778195	6.13374132e-02
0.62795699	6.12321227e-02
0.62813203	6.11270064e-02
0.62830708	6.10220638e-02
0.62848212	6.09172943e-02
0.62865716	6.08129460e-02
0.62883221	6.07092821e-02
0.62900725	6.06057885e-02
0.62918230	6.05024648e-02
0.62935734	6.03993103e-02
0.62953238	6.02963245e-02
0.62970743	6.01935069e-02
0.62988247	6.00908569e-02
0.63005751	5.99883740e-02
0.63023256	5.98860576e-02
0.63040760	5.97839073e-02
0.63058265	5.96819225e-02
0.63075769	5.95808324e-02
0.63093273	5.94800072e-02
0.63110778	5.93793447e-02
0.63128282	5.92788445e-02
0.63145786	5.91785061e-02
0.63163291	5.90783288e-02
0.63180795	5.89783123e-02
0.63198300	5.88784560e-02
0.63215804	5.87787594e-02
0.63233308	5.86792220e-02
0.63250813	5.85798433e-02
0.63268317	5.84809049e-02
0.63285821	5.83825163e-02
0.63303326	5.82842840e-02
0.63320830	5.81862075e-02
0.63338335	5.80882864e-02
0.63355839	5.79905200e-02
0.63373343	5.78929081e-02
0.63390848	5.77954500e-02
0.63408352	5.76981452e-02
0.63425856	5.76009934e-02
0.63443361	5.75039940e-02
0.63460865	5.74071465e-02
0.63478370	5.73112284e-02
0.63495874	5.72154847e-02
0.63513378	5.71198905e-02
0.63530883	5.70244454e-02
0.63548387	5.69291489e-02
0.63565891	5.68340004e-02
0.63583396	5.67389996e-02
0.63600900	5.66441461e-02
0.63618405	5.65494392e-02
0.63635909	5.64548787e-02
0.63653413	5.63604640e-02
0.63670918	5.62665267e-02
0.63688422	5.61730533e-02
0.63705926	5.60797235e-02
0.63723431	5.59865370e-02
0.63740935	5.58934933e-02
0.63758440	5.58005920e-02
0.63775944	5.57078326e-02
0.63793448	5.56152147e-02
0.63810953	5.55227379e-02
0.63828457	5.54304018e-02
0.63845961	5.53382059e-02
0.63863466	5.52461952e-02
0.63880970	5.51550236e-02
0.63898475	5.50639900e-02
0.63915979	5.49730940e-02
0.63933483	5.48823352e-02
0.63950988	5.47917132e-02
0.63968492	5.47012276e-02
0.63985996	5.46108779e-02
0.64003501	5.45206638e-02
0.64021005	5.44305849e-02
0.64038510	5.43406407e-02
0.64056014	5.42508308e-02
0.64073518	5.41615415e-02
0.64091023	5.40726420e-02
0.64108527	5.39838747e-02
0.64126032	5.38952395e-02
0.64143536	5.38067358e-02
0.64161040	5.37183633e-02
0.64178545	5.36301216e-02
0.64196049	5.35420103e-02
0.64213553	5.34540290e-02
0.64231058	5.33661774e-02
0.64248562	5.32784551e-02
0.64266067	5.31909712e-02
0.64283571	5.31042248e-02
0.64301075	5.30176057e-02
0.64318580	5.29311135e-02
0.64336084	5.28447478e-02
0.64353588	5.27585082e-02
0.64371093	5.26723944e-02
0.64388597	5.25864061e-02
0.64406102	5.25005427e-02
0.64423606	5.24148041e-02
0.64441110	5.23291897e-02
0.64458615	5.22436993e-02
0.64476119	5.21587528e-02
0.64493623	5.20741156e-02
0.64511128	5.19896006e-02
0.64528632	5.19052074e-02
0.64546137	5.18209357e-02
0.64563641	5.17367850e-02
0.64581145	5.16527551e-02
0.64598650	5.15688456e-02
0.64616154	5.14850562e-02
0.64633658	5.14013866e-02
0.64651163	5.13178363e-02
0.64668667	5.12345776e-02
0.64686172	5.11519723e-02
0.64703676	5.10694846e-02
0.64721180	5.09871141e-02
0.64738685	5.09048604e-02
0.64756189	5.08227232e-02
0.64773693	5.07407023e-02
0.64791198	5.06587972e-02
0.64808702	5.05770076e-02
0.64826207	5.04953333e-02
0.64843711	5.04137739e-02
0.64861215	5.03323290e-02
0.64878720	5.02514353e-02
0.64896224	5.01707756e-02
0.64913728	5.00902287e-02
0.64931233	5.00097945e-02
0.64948737	4.99294726e-02
0.64966242	4.98492628e-02
0.64983746	4.97691646e-02
0.65001250	4.96891778e-02
0.65018755	4.96093021e-02
0.65036259	4.95295372e-02
0.65053763	4.94498827e-02
0.65071268	4.93705506e-02
0.65088772	4.92917487e-02
0.65106277	4.92130556e-02
0.65123781	4.91344711e-02
0.65141285	4.90559947e-02
0.65158790	4.89776263e-02
0.65176294	4.88993655e-02
0.65193798	4.88212120e-02
0.65211303	4.87431656e-02
0.65228807	4.86652258e-02
0.65246312	4.85873926e-02
0.65263816	4.85096654e-02
0.65281320	4.84326325e-02
0.65298825	4.83557797e-02
0.65316329	4.82790314e-02
0.65333833	4.82023873e-02
0.65351338	4.81258472e-02
0.65368842	4.80494108e-02
0.65386347	4.79730778e-02
0.65403851	4.78968479e-02
0.65421355	4.78207208e-02
0.65438860	4.77446962e-02
0.65456364	4.76687740e-02
0.65473868	4.75931818e-02
0.65491373	4.75179974e-02
0.65508877	4.74429138e-02
0.65526382	4.73679308e-02
0.65543886	4.72930481e-02
0.65561390	4.72182655e-02
0.65578895	4.71435826e-02
0.65596399	4.70689992e-02
0.65613903	4.69945151e-02
0.65631408	4.69201300e-02
0.65648912	4.68458435e-02
0.65666417	4.67716556e-02
0.65683921	4.66981917e-02
0.65701425	4.66248392e-02
0.65718930	4.65515836e-02
0.65736434	4.64784246e-02
0.65753938	4.64053622e-02
0.65771443	4.63323959e-02
0.65788947	4.62595255e-02
0.65806452	4.61867508e-02
0.65823956	4.61140716e-02
0.65841460	4.60414875e-02
0.65858965	4.59689983e-02
0.65876469	4.58968707e-02
0.65893973	4.58250854e-02
0.65911478	4.57533936e-02
0.65928982	4.56817952e-02
0.65946487	4.56102900e-02
0.65963991	4.55388776e-02
0.65981495	4.54675578e-02
0.65999000	4.53963305e-02
0.66016504	4.53251953e-02
0.66034009	4.52541520e-02
0.66051513	4.51832004e-02
0.66069017	4.51123832e-02
0.66086522	4.50422314e-02
0.66104026	4.49721699e-02
